name,info,description,url
AAS 216. Intermediate Swahili II,AAS 215. (4). (Lang Req). May not be repeated for credit.,"This course is designed for students who have completed the Intermediate Swahili I sequence or with permission of the instructor.  It broadens speaking, reading, and writing skills as students engage in discussions and writing on more complex topics.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=216', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=216', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=216']"
AAS 224 / HISTART 224. African Visual Cultures:  Akan/Kongo/Yoruba,(3). May not be repeated for credit.,"This course introduces a broad range of perspectives on African visual cultures by focusing on three cultural groups:  the Akan, the Yoruba and the Kongo.  Lecture and discussion topics are thematic and cross-cultural, examining the visual image in contexts before, during, and after European colonialism as well as in Diasporic transformations.",['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=224']
AAS 230 / HISTORY 274. Survey of Afro-American History I,AAS 111. (3). (SS). May not be repeated for credit. (African-American Studies).,,"['FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=230', 'SP 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2230&cgtype=ug&show=20&department=AAS&catalog=230', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=230']"
"AAS 231 / HISTORY 275. Survey of Afro-American History, II",AAS 111. (3). (SS). May not be repeated for credit. (African-American Studies).,,['WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=231']
AAS 236 / AMCULT 226 / HISTORY 226 / LACS 226 / LATINOAM 226. The Latin Tinge:  Latin Music in Social Context in Latin America and the U.S.,(4; 3 in the half-term). (HU). (R&E). May not be repeated for credit.,"This course introduces key Latin musical styles, recordings, and musicians.  It requires extensive listening and musical analysis, and develops these historical themes:  1) the origins and development of Afro-diasporic musical styles:  2) the interplay between nationalism and popular music:  and 3) international musical flows shaped by Atlantic colonialism, commercial markets, and labor migration.",[]
AAS 245 / HISTORY 245 / ISLAM 245. Islam in Africa,"Students will receive no credit if previously taken as HISTORY 357, Topic 3 ""Islam in Africa"". (Prerequisites enforced at registration.) (3 - 4; 3 in the half-term). (HU). May not be repeated for credit.","It is well known that Islam is the majority religion in Africa north of the Sahara. It is much less well known that today Islam may be the most widely professed faith south of the desert, in what westerners have often called 'Black Africa', as well. Roughly 1/6th of the world's Muslim population can be found in sub Saharan Africa. This course will examine African Islamic history beginning with the earliest Muslim migrants from Arabia to Ethiopia in the early 7th century CE until the dawn of the 21st century.",[]
AAS 246 / HISTORY 246. Africa to 1850,(4; 3 in the half-term). (SS). May not be repeated for credit.,The course is an introduction to the peoples and cultures of Sub-Saharan Africa.  It begins with a survey of the origins of man and early African civilizations and concludes with the Trans-Atlantic slave trade.,"['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=246', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=246']"
AAS 247 / HISTORY 247. Modern Africa,(4; 3 in the half-term). (SS). (R&E). May not be repeated for credit.,"This is the second part of a two-course introduction to central themes in Sub-Saharan African history. It deals with the abolition of the slave trade, European imperialism, underdevelopment, nationalism, and decolonization.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=247', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=247', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=247']"
"AAS 248. Crime, Race, and the Law",(3). May not be repeated for credit.,"This course focuses on both the historical origins, and the ongoing impact, of the racial crisis in the present-day American criminal justice system and its momentous public policy implications for U.S. society in the 21st century.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=248', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=248', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=248']"
"AAS 250. Law, Race, and the Historical Process, I",(3). May not be repeated for credit.,"This is the first of a two-course sequence on the constitutional and legal history of African Americans. It covers the phase of this history that begins with European exploration of the western hemisphere, and ends as we set the stage for the advent of the Modern Civil Rights movement.",['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=250']
"AAS 251. Law, Race, and the Historical Process, II",AAS 450. (3). May not be repeated for credit.,"This course is a continuation of Law, Race and the Historical Process I (AAS 250). It covers the period of time from the beginnings of the modern Civil Rights movement to the present.",['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=251']
AAS 254. The History and Evolution of Hip Hop Culture,(4). (HU). May not be repeated for credit.,"This course explores the rise of Hip Hop as a global phenomenon and the social controversies that it has engendered.  Drawing on documentaries, films, and music, we address issues of violence, misogyny, use of the ""b-work"" and ""n-word,"" and glorification of ""ghetto culture"" in exploring Hip Hop's evolution.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=254', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=254', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=254']"
AAS 260. The Political Economy of African Development,(3). (SS). May not be repeated for credit.,"The course introduces students to the confluence of political and economic forces at the local, national, regional and global levels that have helped shape the trajectory of African development.  The course in divided into two parts: the first examines the meaning and evolution of the political economy of development in the context of Africa's unfolding history, while the second applies an understanding of political economy to topical development issues and case studies.","['WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=260', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=260']"
"AAS 262 / HISTORY 272. The Civil Rights Movement in the United States, 1941-1975",(4; 3 in the half-term). (R&E). May not be repeated for credit.,"This course traces the history of the Civil Rights Movement in the United States from its origins in the early 20th century through the 1960's and beyond. It focuses on the organizations that emerged to press for racial equality and the strategies they pursued to achieve their goals, from litigation and legislation to mass protest, economic self-help and racial separatism. Finally, the course examines debates over the role of race in public policy in the post-civil rights-era.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=262', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=262']"
"AAS 263. Race, Housing, and Employment",(3). May not be repeated for credit.,"Why are neighborhoods and workplaces still segregated 48 years after passage of the Civil Rights Act?  This course examines how racial politics shape housing market and labor market outcomes.  Through discussion, empirical research, and written assignments, we'll investigate the courses of racial inequality and the consequences of racial isolation.",[]
AAS 267 / AMCULT 267 / HISTORY 267. Religion in the Making of African America,(3). May not be repeated for credit.,"This undergraduate course studies the historical development of African American religion. The course begins with discussion of the faith systems created and adapted in transatlantic slavery. The lectures and interdisciplinary reading assignments examine the multiple evolutions of religious thought and practice among African descended communities in the 19th and 20th centuries. The course examines the U.S. contexts of African American religious culture in their historical relationships with the Caribbean, South America and Africa. The course pays especial attention to the influence of religion in the overlapping affiliations of nation and diaspora.",[]
"AAS 268. Community Collaborations:  Race, Social Justice, and Engaged Learning",(3). (SS). May not be repeated for credit.,"This course explores community engaged learning through theoretical, historical, and practical lenses. You'll learn to critically analyze structural inequalities; reflect on your identities and experiences in exploring issues of power, privilege, and social change; develop practical skills for interviewing and collaborating; and explore possibilities for future engagement with community members.",[]
AAS 271 / ENGLISH 274. Introduction to Afro-American Literature,AAS 111 (CAAS 111). (3; 2 in the half-term). (HU). (R&E). May not be repeated for credit.,"This course surveys poetry, fictive and autobiographical narratives, prose essays, and drama produced by black writers over the course of their presence in America.  The goal is to investigate responses to Afro-American peoples' situation in a society simultaneously both hostile to and keenly dependent upon their presence.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=271', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=271', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=271', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=271', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=271', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=271']"
AAS 273 / AMCULT 273. The Southern Novel in Historical Context,(3). (R&E). May not be repeated for credit.,"Focusing on five classic southern novels, this course will examine how history and literature can illuminate each other, particularly in matters of race and race relations. Readings will include works by Harper Lee, Zora Neale Hurston, William Faulkner, Dames Dickey, and Alice Walker, while in-class lectures will address Southern literary history and the history of the South during the turbulent decades of the 1930s through the 1970s. We will also focus on the authors' lives and the ways in which they created works of lasting significance out of the raw materials of their experiences.","['WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=273', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=273']"
AAS 290. Selected Topics in Black World Studies,(2). May not be repeated for credit.,"A mini-course seminar on specialized topics in Afroamerican, African, and/or Caribbean studies.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=290', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=290', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=290', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=290', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=290', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=290']"
AAS 303 / SOC 303. Race and Ethnic Relations,An introductory course in Sociology or AAS 201. (3 - 4; 3 in the half-term). (SS). (R&E). May not be repeated for credit. (African-American Studies).,"This course examines the tensions underlying American race and ethnic relations. Students use theoretical debates, historical, social and political meanings of race and ethnicity, and the study of how various racial and ethnic groups construct and use their social identities to examine the processes that facilitate or impede intergroup relations.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=303', 'SP 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2280&cgtype=ug&show=20&department=AAS&catalog=303', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=303', 'SP 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2230&cgtype=ug&show=20&department=AAS&catalog=303', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=303', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=303']"
"AAS 304 / WGS 304. Gender and Immigration:  Identity, Race, and Place",The seminar is intended for junior and senior undergraduates but sophomores are also welcome. (3). (SS). May not be repeated for credit.,"Refugees, migrants, immigrants, diaspora groups, and transnational actors are all terms that describe people who undertake different acts of mobility or travel across borders. But how are these terms different? This course focuses on these various acts of mobility (travel) to show how they are labeled differently under different political and social circumstances. We examine the gendered cultural and political meanings people and governments give to mobility, border crossing, and displacement in this significant age of globalization, transnational mobility, and search of refuge. We will examine the meanings of travel and border crossing in relation to popular concepts such as ""refugee-ness"", ""diaspora,"" and ""transnationalism."" Have the meanings of these terms been useful in understanding the social constructions of gender identities, race, ethnicity, xenophobia, and even health and reproduction? We will particularly explore how questions of power, race, and class intersect to shape refugees and immigrants' daily struggles for justice and demands of inclusion in the rubrics of both national and transnational imagined communities. How do refugees and immigrants attempt to create and ""imagine"" their own social world with reference to their new locations and their homelands? And how their imaginations are interrupted by complex socio-economic and political realities? Our readings and discussion will focus on cultural and theoretical perspectives from the social sciences, specifically anthropology, history, literature, and political science. And we will take as examples the ethnographies and narratives of immigrants from different parts of the world, specifically Africa, the Middle East Asia, and Latin America.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=304', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=304', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=304', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=304']"
AAS 309. Global Health in African Contexts,(3). May not be repeated for credit.,"This course examines ""global health"" in African contexts. We shall explore African understandings of illness and health; traditions of non-medical healing; the history of Western medicine in Africa; the current state of medical systems; and the challenges of major infectious epidemics such as AIDS, Malaria, and Tuberculosis and well as everyday health challenges arising from changing lifestyles and poverty.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=309', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=309']"
AAS 310 / HISTORY 310 / INTLSTD 310. Atlantic Slavery and the Making of the Modern World,(3). (HU). May not be repeated for credit.,"This upper-level seminar will examine systems of unfree labor in Africa and the Americas during the era of the Atlantic Slave Trade. Beginning with European colonization of the Americas and ending with the emancipations of the nineteenth century, the course will explore the labor and cultural practices of enslaved people as well as the evolution of slavery as a legal and economic institution. Although slavery was a global institution, we will pay special attention to the way that the organization of labor and the heritage of slavers and slaves created different societies in different parts of the Americas. We will also consider longstanding debates in the history of slavery such as the origins of racial slavery and forms of slave resistance. And throughout the course we will always consider the legacy of Atlantic slavery and how it continues to unfold in the problems and promises of our world today.",[]
AAS 315. Advanced Swahili I,AAS 216. (3). May not be repeated for credit.,"This course enables students to gain a deeper understanding of the Swahili language through reading, analyzing and interpreting complex thoughts, issues and ideas in literature written in Swahili by African writers. In addition, students perform other linguistically advanced tasks, such as expressing their feelings, seeking the opinion of others, giving advice and describing their health. As with beginning and intermediate Swahili, culture is introduced and incorporated through lectures, field exercises and interactions.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=AAS&catalog=315', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=AAS&catalog=315', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=AAS&catalog=315']"
AAS 316. Advanced Swahili II,AAS 315. (3). May not be repeated for credit.,"This course enables students to gain a deeper understanding of the Swahili language through reading, analyzing and interpreting complex thoughts, issues and ideas in literature written in Swahili by African writers. In addition, students perform other linguistically advanced tasks, such as: expressing their feelings, seeking the opinion of others, giving advice and describing their health condition. As with the earlier courses, culture is built into the course and is introduced through lectures, field exercises and interactions.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=AAS&catalog=316', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=AAS&catalog=316', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=AAS&catalog=316']"
